fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 101631	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	242	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.345946127155893	0.583440951119577	868	1154	11978	51652386.8065967	1
20240507 101809	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.282689891412912	0.64319200051458	1188	1940	11440	59212233.8830585	2
20240507 102028	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	325	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.129686069412786	0.709779659509465	1481	1456	11361	58997059.970015	3
20240507 102334	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	555	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.147602192905471	0.854242249836071	1360	1282	10909	60313299.850075	4
20240507 102629	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.227328322608499	0.797759180518079	276	989	14271	56983401.7991005	5
20240507 102752	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.436400152061683	0.659641702846967	413	1380	10366	56180200.8995502	6
20240507 104218	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1771	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0114831836449744	0.535543018542917	593	374	13163	60273458.7706147	7
20240507 104412	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	82	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.374529645425714	0.687950902704333	902	592	13167	53844067.4662669	8
20240507 104638	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.377868899305434	0.551889122956884	1899	188	12610	53860014.9925037	9
20240507 104816	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	158	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.303672263236095	0.751068867259269	1723	1766	13827	56137290.8545727	10
20240507 105045	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	190	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.066590248149912	0.741936342947362	1951	774	11853	60250475.2623688	11
20240507 105137	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	319	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.441589530310011	0.801715006523701	13	306	13984	53573217.3913044	12
20240507 105318	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	179	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.223746253899554	0.616316903014415	214	1668	11634	58480008.9955022	13
20240507 105552	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	120	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0870784446833868	0.87658911620512	669	559	13110	59258545.7271364	14
20240507 105827	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	547	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.487274124690569	0.834938937831274	1096	1532	10644	55527070.4647676	15
20240507 110145	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	294	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.19059882590435	0.521109540997023	1663	895	13592	58746338.8305847	16
20240507 110609	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	722	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0279692768457327	0.622870074254775	1482	938	11152	60603790.1049475	17
20240507 111347	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1068	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0213918559731174	0.61026748099708	1700	791	12453	61411494.7526237	18
20240507 112608	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1299	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.016657428892966	0.840912609675481	2048	478	13184	59609679.1604198	19
20240507 113423	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1125	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.036974273289674	0.500252835153592	2045	606	14237	60013497.7511244	20
20240507 115939	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5400	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0100187032124372	0.535395302359889	1682	1471	12761	60862967.0164918	21
20240507 121528	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2858	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0100318097011371	0.559117737896371	1457	970	11899	60614724.137931	22
20240507 121913	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1796	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0204816402515234	0.637124455447658	33	1378	10769	62319866.5667166	23
20240507 122027	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0218956858073524	0.700193448110287	8	1704	14927	51483827.5862069	24
20240507 123039	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1720	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0239058240890696	0.520304147966066	1590	999	11917	60295836.5817091	25
20240507 124004	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1467	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201001807150516	0.540425991036357	1452	934	13561	60899428.7856072	26
20240507 124547	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	737	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0261105511787962	0.536306461840798	1584	1036	10282	61637958.0209895	27
20240507 125122	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	767	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0336572852539459	0.513336337885106	1636	1097	11407	60678430.2848576	28
20240507 130309	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1986	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0132576726474991	0.535675516229287	1556	1073	11428	62181667.1664168	29
20240507 131834	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0100326455904066	0.644737010514446	1026	1281	11211	61250298.3508246	30
