fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 025235	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.234875648518115	0.503882777153524	8	495	20138	43989358.3208396	24
20240507 025406	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.215670332614047	0.899448583707739	945	1100	15529	52926643.1784108	25
20240507 025542	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.240801208434548	0.899956555210544	532	883	12630	51973088.4557721	26
20240507 025654	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.226040919625022	0.845813507415355	1269	1999	17392	46448347.826087	27
20240507 025902	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.214926053623903	0.764713453198329	807	103	10771	53696655.1724138	28
20240507 030046	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.226448736566501	0.899895520836923	349	442	11945	49519002.9985007	29
20240507 030212	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.227616682459327	0.708465892792051	794	1005	15202	45817628.185907	30
20240507 030424	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.203431755989918	0.896404830750721	1069	109	12098	51582161.9190405	31
20240507 030540	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.276285040005416	0.899900657895283	352	1719	17127	47402148.4257871	32
20240507 030756	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	82	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.372450493249725	0.501199866676992	1013	100	13862	50758827.5862069	33
20240507 031020	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.211799596905503	0.888923490737296	2044	101	13285	52815464.7676162	34
20240507 031153	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.207663076046762	0.842236048942034	2027	910	10985	41004880.05997	35
20240507 031351	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	158	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.358103626761113	0.67250175488711	856	100	10924	54374086.9565217	36
