fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 021549	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.345946127155893	0.583440951119577	868	1154	11574	50319679.1604198	1
20240507 021704	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.282689891412912	0.64319200051458	1188	1940	17427	49599599.7001499	2
20240507 021823	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.129686069412786	0.709779659509465	1481	1456	17864	45364041.9790105	3
20240507 021948	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.147602192905471	0.854242249836071	1360	1282	21472	43970686.6566717	4
20240507 022118	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.227328322608499	0.797759180518079	276	989	16241	46678979.0104948	5
20240507 022240	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.436400152061683	0.659641702846967	413	1380	16046	41832014.9925037	6
20240507 022657	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0114831836449744	0.535543018542917	593	374	16404	48739664.167916	7
20240507 022843	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.374529645425714	0.687950902704333	902	592	13986	45365658.1709145	8
20240507 023107	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	48	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.377868899305434	0.551889122956884	1899	188	10506	50222989.5052474	9
20240507 023226	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.303672263236095	0.751068867259269	1723	1766	18188	40577289.3553223	10
20240507 023420	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.066590248149912	0.741936342947362	1951	774	16665	47484820.089955	11
20240507 023453	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.441589530310011	0.801715006523701	13	306	12623	35718826.0869565	12
20240507 023609	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.223746253899554	0.616316903014415	214	1668	20705	48082181.4092954	13
