fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240505 220008	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.345946127155893	0.583440951119577	868	1154	21309	44947362.8185907	1
20240505 220129	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.282689891412912	0.64319200051458	1188	1940	14710	50860044.9775112	2
20240505 220258	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.129686069412786	0.709779659509465	1481	1456	16419	50080271.3643178	3
20240505 220430	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.147602192905471	0.854242249836071	1360	1282	22319	43117062.9685157	4
20240505 220607	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.227328322608499	0.797759180518079	276	989	20389	43706403.2983508	5
20240505 220732	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.436400152061683	0.659641702846967	413	1380	15646	42719511.2443778	6
20240505 221209	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0114831836449744	0.535543018542917	593	374	16500	51825517.2413793	7
20240505 221400	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.374529645425714	0.687950902704333	902	592	10983	55540955.0224888	8
20240505 221629	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.377868899305434	0.551889122956884	1899	188	15259	48184859.0704648	9
20240505 221750	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.303672263236095	0.751068867259269	1723	1766	14549	53361095.952024	10
20240505 221945	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.066590248149912	0.741936342947362	1951	774	15150	48131649.1754123	11
20240505 222025	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.441589530310011	0.801715006523701	13	306	12451	52056835.0824588	12
20240505 222147	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.223746253899554	0.616316903014415	214	1668	12923	56518616.191904	13
20240505 222400	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0870784446833868	0.87658911620512	669	559	16590	54010449.7751124	14
20240505 222524	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.487274124690569	0.834938937831274	1096	1532	13387	55628745.1274363	15
20240505 222738	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.19059882590435	0.521109540997023	1663	895	15465	52811896.5517241	16
20240505 222902	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.320603963950339	0.800641746316486	1110	1616	20895	47782946.0269865	17
20240505 223051	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.372575688172231	0.690874037886329	643	553	13407	55671353.8230885	18
20240505 223237	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.418447698233291	0.662397615739011	580	550	12456	53745163.4182909	19
20240505 223423	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.394128959889549	0.674338925804445	659	557	15499	53446328.3358321	20
20240505 223555	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.196052078753451	0.568292749302296	53	1691	13887	58424457.2713643	21
20240505 223736	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.123340913486204	0.546680048878785	8	1707	14634	53394191.904048	22
20240505 223920	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.473913940886715	0.564509688563337	96	1684	12196	55135058.4707646	23
20240505 224251	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0116179126649936	0.522473088429184	283	1680	16753	48033953.5232384	24
20240505 224331	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.494826357124421	0.626546227995796	10	1730	14814	51984266.8665667	25
20240505 224510	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.497289693903444	0.817800928599828	764	531	12392	50812365.8170915	26
20240505 224720	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.18413212008073	0.500389315440964	271	583	18980	44654002.9985007	27
20240505 224846	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.239852355678967	0.567180095119351	29	1709	12133	58144328.3358321	28
20240505 225019	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.189698673389629	0.58607497636233	150	1715	14728	54524185.9070465	29
20240505 225216	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0799403163676847	0.567421348317092	611	1744	16059	48696763.1184408	30
20240505 225350	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.232128156371347	0.546610672112793	10	1639	12855	52739047.976012	31
20240505 225455	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.252380669932278	0.579107999814991	8	1740	11317	55143632.6836582	32
20240505 225617	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.280654839769743	0.569291021229293	28	1691	11295	57401656.6716642	33
20240505 225749	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.25747727807875	0.566167174266496	54	1717	11815	55007713.6431784	34
20240505 225937	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.374873892167621	0.708449812071755	941	518	18292	45838242.8785607	35
20240505 230025	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.236406399527525	0.613972929585404	19	1688	13525	59104160.4197901	36
20240505 230214	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.381109048985546	0.688974637170537	567	639	19500	47093883.0584708	37
20240505 230313	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.234720372991012	0.687366156056291	54	1687	11461	55531902.5487256	38
20240505 230407	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.231676837130208	0.596132085127999	22	1686	10868	56882236.8815592	39
20240505 230513	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.248806421419939	0.600541730489683	68	1693	12410	55803763.1184408	40
20240505 230703	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.3497509245207	0.865647159987716	715	576	14001	55432562.2188906	41
20240505 230743	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.270507492011913	0.881887598437643	8	1693	14004	50286650.6746627	42
20240505 230853	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.244710415696618	0.573957179450164	8	1678	13271	54009668.6656672	43
20240505 230948	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.277240656421997	0.607910938524789	40	1696	11782	56468752.6236882	44
20240505 231113	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.273083832193633	0.589170816740913	120	1690	17483	50924253.3733133	45
20240505 231206	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.203091538874004	0.620191898533802	29	1699	11923	59044253.3733133	46
20240505 231255	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.202275466780522	0.622618447413409	25	1699	10675	57227473.7631184	47
20240505 231356	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.160309066606482	0.597190639418375	36	1690	11485	57731146.9265367	48
20240505 231449	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.198280889062165	0.618076804164683	37	1699	12895	58195659.6701649	49
20240505 231543	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.218522081907596	0.618798458856464	37	1693	13239	59051455.7721139	50
20240505 231637	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.203590947413053	0.644428024530092	36	1699	12179	58436073.4632684	51
20240505 231731	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.218522081907596	0.618798458856464	37	1693	13239	59051455.7721139	52
20240505 231824	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.227769663387991	0.610130290207335	33	1676	12251	58238964.017991	53
20240505 231910	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	26	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.250917555874795	0.673971326384004	18	1719	13853	57089155.922039	54
20240505 232001	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.232182973677458	0.630174412161232	30	1698	10894	57205316.3418291	55
20240505 232202	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.279847322514716	0.862662220846241	627	515	11855	55861566.7166417	56
20240505 232326	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.181121811790131	0.633117667358293	200	1744	13748	52278758.6206897	57
20240505 232419	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.203590947413053	0.644428024530092	36	1699	12179	58436073.4632684	58
20240505 232605	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.412150135731721	0.751796132973211	618	467	12667	54330274.3628186	59
20240505 232728	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.205823290343018	0.678137461569843	185	1611	18556	49432509.7451274	60
20240505 232910	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.204729629120755	0.54781854136769	36	1688	10947	57794082.4587706	61
20240505 233120	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.228224285995462	0.587508238103583	620	529	12902	53456518.7406297	62
20240505 233213	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.203590947413053	0.644428024530092	36	1699	12179	58436073.4632684	63
20240505 233406	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.358203905924095	0.892417117435612	632	562	12073	54619200.8995502	64
20240505 233535	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0817073598021504	0.579389494755768	63	1680	15947	54257350.8245877	65
20240505 233630	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.200794276870047	0.612118801033081	37	1694	11750	58916116.9415292	66
