fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 151823	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	478	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200648431441672	0.631607597680182	360	100	11461	62062457.2713643	24
20240512 152100	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	373	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200653376505023	0.636000975709905	438	100	12978	62055025.4872564	25
20240512 152423	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	661	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200492973802783	0.782010770933427	313	710	13435	62033350.8245877	26
20240512 152709	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	276	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201993192357475	0.774795896735286	583	100	12417	61571548.7256372	27
20240512 153052	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1109	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.020143366653335	0.745290319519941	285	157	11908	61734230.8845577	28
20240512 153628	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1342	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200051796581508	0.500278747356959	230	320	9412	61158782.6086956	29
20240512 153847	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	263	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0202742568482766	0.765570764067584	416	103	10013	62003998.5007496	30
20240512 154120	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	298	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0285880693829622	0.597722457722952	420	262	11396	62546752.6236882	31
20240512 154422	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	682	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0271983308469173	0.898955411408153	295	425	10341	60895440.7796102	32
20240512 154817	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0308793095349817	0.677191488318331	1022	100	13355	62124685.1574213	33
20240512 155149	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	624	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0295836332648254	0.635744024588055	582	101	12154	62164686.6566717	34
20240512 160022	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	824	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.02582403949104	0.68198211782523	2010	100	10016	61847052.4737631	35
20240512 160302	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	580	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0286550472599165	0.673977816265598	1455	1996	11281	61579248.8755622	36
20240512 160921	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	742	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0263163042373337	0.710222870330703	1295	100	11715	62720787.1064468	37
20240512 161540	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	742	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0263163042373337	0.710222870330703	1295	100	11715	62720847.0764618	38
20240512 162053	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	500	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0263873611714593	0.686158600266572	1326	100	10930	62323463.2683658	39
20240512 162849	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1136	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0260963780304607	0.710439331670558	1213	100	10792	62673835.0824588	40
20240512 162932	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0240148039592493	0.763955317390723	10	850	10106	53912464.7676162	41
20240512 163458	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	443	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201001309051884	0.894936677562095	1411	101	13435	61455719.6401799	42
20240512 163941	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	805	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201461855239298	0.675864848117563	702	100	12202	61971751.1244378	43
20240512 164829	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2192	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201587486923742	0.674858439198836	650	100	13860	61712173.9130435	44
20240512 165316	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200127425000349	0.678897445529204	1223	777	12377	62311638.6806597	45
20240512 165753	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	958	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0216358748512022	0.603320621886533	488	1021	11863	60670670.1649175	46
20240512 170335	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	418	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201083769085725	0.627194238432598	1675	107	11489	61422295.3523238	47
20240512 170927	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	644	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200123405536853	0.73396952930301	1186	336	11871	61647869.5652174	48
20240512 171144	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	552	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0829080385761428	0.724635248214112	360	100	12182	61467613.1934033	49
20240512 171558	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	311	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201285402511207	0.668855458151994	1220	100	11799	61244019.4902549	50
20240512 171847	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	334	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200055810252674	0.707607608002797	552	100	11667	62750544.2278861	51
20240512 172140	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	398	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201941763132528	0.686530829155576	514	100	11031	61955755.6221889	52
20240512 173101	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2448	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200825327925543	0.515123326662413	2047	1976	13073	60676532.2338831	53
20240512 173655	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1442	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200754490635464	0.703063258186824	547	100	11746	61675103.4482759	54
20240512 174351	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	827	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.020073050988754	0.675333266982979	1308	102	12610	61958065.9670165	55
20240512 174803	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	256	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200662747498998	0.699775948693814	1298	122	11416	62095808.095952	56
20240512 175643	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1162	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200130974541981	0.653658692610004	1408	319	10388	60934590.7046477	57
20240512 180141	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1197	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.020163441748876	0.690067681419859	499	100	10352	62321991.0044978	58
20240512 180424	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	359	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0204883131416857	0.700714188587956	491	100	11558	62445460.2698651	59
20240512 181009	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1313	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200046683412804	0.500221883073909	1251	1993	11564	61155916.041979	60
20240512 181244	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	511	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.020252463020638	0.862122748630387	318	100	13777	61657665.6671664	61
20240512 181818	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1777	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201010609559128	0.88098644237546	1221	2000	12107	61207455.7721139	62
20240512 182608	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1191	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0202085276637095	0.722251256533271	1072	108	9709	61787842.5787106	63
20240512 183219	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1017	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200585563249583	0.7446215170634	1281	820	13108	61900647.6761619	64
20240512 184321	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1237	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0203369355306332	0.500167946117152	2046	107	10591	61316055.4722639	65
20240512 185452	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2974	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0209381155122236	0.500288717850467	443	101	11613	62951884.5577211	66
20240512 190624	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2974	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0209381155122236	0.500288717850467	443	101	11612	62949967.0164918	67
